liveness,loudness,danceability,song_duration_ms,time_signature,audio_valence,energy,tempo,acousticness,speechiness,key,instrumentalness,audio_mode,song_popularity,time_signature_cat
gravada,-10.788,NA,216506,NA,0.6,0.408,NA,acustic,0.0554,NA,NA,NA,23,NA
gravada,-10.541,0.843,145659,4,0.34,NA,ràpid,acustic,NA,3,sense_veu,NA,5,4
gravada,NA,NA,241599,4,0.796,NA,NA,NA,0.0317,0,sense_veu,NA,78,4
gravada,-8.907,NA,290293,NA,0.351,0.56,lent,acustic,NA,3,sense_veu,1,42,NA
en_viu,-3.782,0.746,166138,NA,0.751,0.877,NA,no_acustic,0.0666,NA,sense_veu,NA,11,NA
mig,-6.94,0.268,179200,4,NA,0.459,lent,acustic,0.0346,NA,sense_veu,1,74,4
mig,-7.132,0.592,176075,NA,NA,0.571,lent,mig_acustic,0.174,1,sense_veu,1,74,NA
gravada,-14.805,0.899,NA,4,0.744,NA,mitjà,no_acustic,0.102,7,NA,1,50,4
NA,-11.541,0.567,NA,4,0.535,0.867,ràpid,no_acustic,0.0484,NA,NA,NA,55,4
gravada,NA,0.731,NA,4,0.425,NA,lent,NA,NA,8,sense_veu,0,26,4
NA,-6.49,0.749,NA,NA,0.847,0.967,ràpid,no_acustic,NA,6,molta_veu,0,0,NA
NA,-6.297,0.552,225533,4,0.786,0.886,lent,NA,NA,5,sense_veu,0,2,4
mig,-8.03,NA,207813,4,0.25,NA,mitjà,no_acustic,0.0349,7,NA,1,4,4
gravada,-9.858,0.865,NA,4,NA,0.525,NA,mig_acustic,0.347,11,sense_veu,1,62,4
en_viu,-9.671,0.691,199533,NA,NA,0.581,NA,acustic,0.037,1,NA,NA,41,NA
en_viu,-7.033,0.782,268933,4,0.243,0.436,lent,acustic,0.155,2,sense_veu,1,77,4
gravada,-10.273,0.471,209573,4,NA,0.179,NA,acustic,NA,9,NA,NA,65,4
en_viu,-6.503,0.698,264853,4,0.378,0.783,NA,no_acustic,0.266,2,NA,NA,52,4
en_viu,NA,NA,223240,4,0.676,0.625,NA,no_acustic,0.0567,11,sense_veu,0,58,4
gravada,-8.417,0.728,176702,4,0.445,0.607,mitjà,mig_acustic,NA,1,sense_veu,NA,76,4
NA,NA,NA,197922,4,0.705,0.559,mitjà,NA,0.064,NA,NA,0,62,4
mig,-5.605,NA,211825,4,NA,0.882,ràpid,no_acustic,0.0819,1,NA,1,48,4
mig,NA,0.394,285866,4,0.0932,0.0826,ràpid,acustic,0.0392,NA,sense_veu,1,64,4
NA,-5.991,NA,213309,4,NA,NA,mitjà,no_acustic,0.0394,NA,sense_veu,NA,98,4
mig,-6.84,NA,189493,4,0.341,0.63,lent,mig_acustic,0.162,NA,sense_veu,NA,46,4
en_viu,-6.443,0.739,159466,4,0.767,NA,NA,no_acustic,0.0345,NA,molta_veu,NA,10,4
NA,-5.436,0.527,210226,NA,NA,0.978,ràpid,no_acustic,0.109,8,sense_veu,NA,73,NA
en_viu,-2.605,NA,198093,NA,0.808,0.907,mitjà,mig_acustic,0.0326,6,NA,0,56,NA
en_viu,-7.608,NA,NA,4,0.293,0.468,NA,mig_acustic,0.0425,0,NA,NA,55,4
gravada,-21.672,0.172,NA,5,0.0417,0.103,NA,acustic,0.0408,0,molta_veu,1,55,5
en_viu,-3.887,0.499,276040,4,0.26,NA,ràpid,no_acustic,0.267,9,NA,NA,73,4
NA,NA,0.725,204022,NA,0.859,0.834,mitjà,mig_acustic,0.037,5,sense_veu,0,80,NA
en_viu,-15.584,0.643,159102,1,NA,0.213,ràpid,acustic,0.0324,NA,NA,1,62,1
en_viu,NA,0.901,NA,4,0.329,NA,NA,NA,0.33,2,NA,1,99,4
mig,-5.025,0.69,210090,4,0.544,0.622,NA,NA,0.0622,5,sense_veu,0,84,4
NA,-6.221,0.83,275560,4,0.376,NA,lent,NA,0.0468,NA,sense_veu,1,56,4
gravada,NA,0.699,193761,NA,0.484,0.583,NA,mig_acustic,NA,6,sense_veu,NA,68,NA
mig,-8.524,NA,NA,4,NA,0.203,lent,acustic,0.0668,9,sense_veu,0,68,4
en_viu,-4.813,0.743,231173,4,NA,NA,NA,NA,0.0414,4,NA,NA,77,4
mig,-5.534,0.368,209520,4,NA,0.869,ràpid,no_acustic,0.0828,NA,NA,1,58,4
en_viu,-6.288,NA,404413,NA,0.6,NA,mitjà,mig_acustic,0.0373,2,sense_veu,1,58,NA
en_viu,-6.773,0.593,241013,4,0.473,NA,NA,NA,0.0504,3,poca_veu,1,59,4
mig,-8.585,NA,207800,4,0.137,0.444,NA,acustic,0.0276,NA,sense_veu,1,34,4
en_viu,-9.397,0.497,NA,NA,NA,NA,lent,mig_acustic,0.0266,6,sense_veu,1,72,NA
en_viu,-4.802,0.262,198867,4,0.468,0.881,mitjà,NA,NA,2,sense_veu,NA,44,4
NA,-4.757,NA,NA,4,NA,0.786,ràpid,NA,NA,2,sense_veu,1,45,4
NA,-6.431,NA,230761,4,NA,0.486,mitjà,no_acustic,0.0311,NA,sense_veu,0,89,4
gravada,-6.942,0.77,NA,NA,NA,NA,lent,mig_acustic,0.0399,NA,sense_veu,NA,51,NA
en_viu,-3.212,0.615,180853,4,0.437,NA,NA,mig_acustic,0.0485,6,sense_veu,1,67,4
mig,-11.587,0.591,257266,4,0.36,0.513,NA,NA,0.0858,NA,NA,0,60,4
NA,-5.904,0.71,256622,4,0.458,NA,mitjà,NA,0.149,6,sense_veu,0,65,4
en_viu,-6.989,0.66,NA,NA,0.324,NA,mitjà,no_acustic,0.0333,0,sense_veu,NA,51,NA
mig,-8.098,NA,160826,4,0.667,NA,NA,no_acustic,0.0448,11,NA,NA,48,4
NA,-7.335,0.509,252866,4,0.244,NA,lent,acustic,0.0572,7,sense_veu,1,78,4
gravada,-6.518,0.565,224280,4,0.229,NA,NA,acustic,NA,NA,NA,0,24,4
NA,-6.246,0.515,NA,NA,0.892,0.603,NA,acustic,0.0318,10,sense_veu,1,37,NA
NA,-9.545,0.441,208226,3,0.105,NA,ràpid,NA,0.0449,2,sense_veu,1,79,3
mig,-6.089,0.614,202226,NA,NA,NA,lent,acustic,0.199,NA,molta_veu,0,40,NA
NA,-8.455,NA,308946,NA,0.171,0.441,NA,no_acustic,0.075,5,sense_veu,NA,57,NA
mig,-4.876,0.718,270883,NA,0.888,0.847,lent,acustic,0.29,2,sense_veu,1,19,NA
en_viu,-9.196,NA,NA,4,0.716,NA,NA,acustic,NA,9,NA,1,56,4
mig,-5.399,0.519,192826,NA,0.243,NA,lent,mig_acustic,0.0263,6,sense_veu,NA,51,NA
gravada,-8.248,0.805,348318,NA,0.173,0.644,lent,NA,NA,1,molta_veu,1,53,NA
gravada,-11.267,NA,NA,4,NA,0.744,NA,no_acustic,0.0338,8,molta_veu,1,19,4
gravada,NA,0.839,135016,4,0.0644,0.473,NA,acustic,0.0607,10,sense_veu,NA,65,4
gravada,-7.269,0.646,211306,4,0.412,0.506,ràpid,mig_acustic,0.0307,10,sense_veu,0,46,4
NA,-4.19,NA,241040,4,0.902,0.917,ràpid,NA,0.0395,9,NA,NA,67,4
NA,-9.545,NA,208226,3,0.105,0.379,ràpid,acustic,NA,NA,NA,NA,79,3
en_viu,-7.539,NA,NA,4,0.398,NA,lent,mig_acustic,0.044,NA,NA,0,65,4
mig,NA,NA,NA,4,0.287,0.551,ràpid,NA,0.0501,1,NA,NA,37,4
NA,-5.867,0.66,211533,4,0.458,0.927,ràpid,acustic,NA,5,sense_veu,0,60,4
NA,NA,0.329,433520,NA,0.189,0.306,ràpid,acustic,0.0327,2,sense_veu,0,68,NA
gravada,-5.425,0.636,198213,3,NA,NA,ràpid,mig_acustic,0.0535,NA,sense_veu,1,16,3
en_viu,-2.555,NA,229840,4,0.619,NA,NA,NA,0.0787,1,sense_veu,0,68,4
NA,NA,0.71,232800,NA,0.875,0.882,NA,no_acustic,NA,4,sense_veu,NA,67,NA
en_viu,-5.114,0.673,167426,4,0.749,0.84,ràpid,mig_acustic,0.0381,NA,NA,1,53,4
NA,-8.768,0.625,NA,4,0.555,NA,lent,mig_acustic,0.272,1,sense_veu,1,70,4
gravada,-5.881,NA,NA,4,0.78,0.861,lent,NA,0.0323,11,NA,NA,83,4
NA,-8.308,0.462,575200,4,0.53,NA,mitjà,acustic,0.0339,2,sense_veu,1,43,4
NA,-7.114,0.755,174860,NA,0.374,0.625,ràpid,acustic,0.0896,2,sense_veu,1,87,NA
en_viu,-3.833,0.416,NA,4,0.677,NA,NA,NA,0.0503,8,sense_veu,NA,55,4
gravada,-5.066,0.593,198000,NA,0.477,0.829,ràpid,NA,0.0763,7,sense_veu,1,42,NA
mig,-6.442,0.669,196400,4,NA,NA,NA,no_acustic,0.0286,4,sense_veu,0,97,4
en_viu,-3.95,NA,177464,NA,0.657,0.907,ràpid,no_acustic,0.0672,10,sense_veu,0,67,NA
mig,NA,0.799,280853,4,0.816,0.878,NA,mig_acustic,NA,1,sense_veu,1,71,4
gravada,-4.807,NA,NA,4,0.35,0.892,ràpid,no_acustic,NA,NA,sense_veu,0,59,4
en_viu,NA,0.539,230693,4,0.752,0.884,lent,acustic,0.0403,9,NA,1,73,4
mig,-4.882,NA,180897,NA,0.319,NA,ràpid,mig_acustic,0.0495,6,sense_veu,NA,90,NA
NA,-7.755,NA,188986,4,0.47,0.792,NA,mig_acustic,0.248,1,sense_veu,0,59,4
gravada,NA,NA,235093,NA,0.913,NA,mitjà,no_acustic,NA,4,poca_veu,1,59,NA
en_viu,-1.976,0.468,195389,NA,0.698,0.939,ràpid,NA,0.112,11,sense_veu,NA,51,NA
mig,-7.552,0.489,141583,NA,0.946,0.64,NA,NA,0.0424,3,sense_veu,1,39,NA
gravada,-8.227,0.564,183706,NA,0.633,NA,ràpid,mig_acustic,0.063,4,NA,1,47,NA
mig,-7.711,NA,356400,NA,NA,0.901,mitjà,mig_acustic,0.0526,6,NA,1,77,NA
mig,-5.721,0.606,NA,4,0.435,0.758,mitjà,no_acustic,0.027,5,sense_veu,0,49,4
mig,-4.296,NA,152000,4,0.832,0.63,ràpid,mig_acustic,0.395,NA,NA,1,90,4
NA,-12.751,0.684,202500,4,NA,NA,mitjà,NA,0.0331,6,sense_veu,1,54,4
NA,-9.594,0.62,201683,4,NA,0.374,NA,NA,0.026,1,NA,1,60,4
en_viu,-7.064,0.585,NA,4,0.654,0.7,lent,acustic,NA,NA,sense_veu,0,35,4
en_viu,NA,0.761,215917,NA,0.786,0.701,lent,NA,0.0559,NA,sense_veu,0,60,NA
en_viu,-7.716,0.782,146484,4,0.642,0.591,NA,no_acustic,0.039,9,sense_veu,0,23,4
mig,-4.987,NA,204013,4,0.33,0.714,ràpid,NA,0.129,7,sense_veu,NA,79,4
NA,-6.546,NA,358426,4,0.524,NA,NA,no_acustic,0.0442,9,NA,1,32,4
gravada,-7.979,NA,225199,4,0.543,0.615,lent,NA,NA,NA,sense_veu,0,91,4
gravada,-6.924,0.749,234373,4,0.798,0.637,lent,NA,0.0764,7,sense_veu,1,68,4
en_viu,-11.169,NA,NA,4,0.518,NA,ràpid,mig_acustic,0.0389,NA,NA,1,69,4
mig,NA,0.805,278655,NA,0.173,0.385,NA,mig_acustic,0.239,NA,sense_veu,1,57,NA
gravada,-7.906,0.575,199226,4,NA,NA,NA,mig_acustic,0.0439,NA,NA,NA,92,4
gravada,-8.591,NA,210666,4,NA,0.439,ràpid,NA,0.115,10,sense_veu,1,28,4
NA,-9.428,NA,266997,4,0.489,0.381,NA,acustic,0.0321,10,NA,1,63,4
mig,-9.275,0.669,180005,NA,0.176,NA,mitjà,NA,0.0549,2,sense_veu,NA,66,NA
NA,-4.084,0.507,247504,4,0.336,NA,mitjà,no_acustic,0.141,NA,sense_veu,NA,34,4
en_viu,NA,0.651,NA,4,0.287,0.261,lent,NA,0.0266,1,sense_veu,NA,40,4
gravada,-4.068,0.638,188138,NA,0.305,0.807,NA,mig_acustic,0.066,9,sense_veu,1,8,NA
en_viu,-7.093,0.504,230333,4,NA,0.801,NA,no_acustic,0.0574,11,sense_veu,NA,28,4
gravada,NA,0.481,NA,NA,NA,0.922,NA,no_acustic,0.064,3,sense_veu,NA,57,NA
gravada,-10.19,0.64,NA,4,0.288,0.667,mitjà,no_acustic,NA,11,molta_veu,0,58,4
en_viu,-7.811,0.6,179640,4,NA,0.734,NA,no_acustic,0.163,NA,NA,1,46,4
NA,-2.451,0.729,NA,NA,NA,0.771,mitjà,no_acustic,NA,4,sense_veu,1,69,NA
en_viu,-3.883,0.408,272665,4,0.291,0.953,ràpid,no_acustic,0.226,7,sense_veu,1,1,4
en_viu,-5.77,0.666,203480,NA,0.734,0.876,NA,mig_acustic,NA,NA,sense_veu,NA,9,NA
gravada,-5.48,0.59,178131,NA,0.4,0.678,mitjà,no_acustic,NA,NA,sense_veu,NA,71,NA
en_viu,-4.408,0.714,135920,4,NA,0.566,mitjà,mig_acustic,0.056,NA,sense_veu,1,74,4
en_viu,-5.78,NA,184950,4,0.372,0.727,NA,NA,0.0442,1,sense_veu,NA,51,4
gravada,-8.329,NA,182224,4,NA,NA,lent,mig_acustic,NA,10,NA,0,53,4
NA,-9.674,0.698,160000,4,0.824,0.661,ràpid,acustic,0.0416,NA,sense_veu,1,58,4
NA,-10.49,0.605,250001,NA,NA,0.335,ràpid,acustic,NA,NA,NA,NA,76,NA
mig,-9.096,0.791,376600,4,0.901,NA,NA,NA,NA,2,NA,1,37,4
NA,-9.539,0.845,267152,4,0.694,NA,NA,no_acustic,0.0567,NA,poca_veu,1,54,4
NA,-4.152,NA,NA,4,NA,0.85,ràpid,no_acustic,0.0488,2,sense_veu,1,1,4
mig,-4.909,0.657,210221,4,0.311,NA,mitjà,NA,0.155,0,sense_veu,1,59,4
NA,-6.237,0.438,240800,4,0.564,NA,NA,NA,0.0624,NA,NA,1,78,4
NA,-8.332,NA,283297,3,0.856,0.519,lent,NA,0.103,NA,sense_veu,NA,8,3
NA,-9.343,0.554,217633,NA,0.281,NA,lent,mig_acustic,0.0439,NA,sense_veu,1,73,NA
gravada,-9.381,NA,246000,4,0.16,0.233,mitjà,NA,0.0318,0,sense_veu,NA,63,4
NA,NA,NA,NA,4,0.534,0.373,lent,mig_acustic,0.0558,NA,sense_veu,1,72,4
en_viu,-3.179,NA,NA,4,NA,0.915,ràpid,NA,0.0992,NA,NA,1,46,4
mig,-7.113,0.493,195676,4,NA,0.445,lent,NA,0.0364,7,NA,1,47,4
gravada,-3.585,NA,207982,NA,0.352,0.923,mitjà,no_acustic,0.0475,9,sense_veu,0,37,NA
mig,-6.702,0.845,200265,4,0.721,0.668,NA,NA,0.0447,1,NA,NA,78,4
mig,-7.702,0.805,NA,4,0.545,0.496,mitjà,NA,0.0595,NA,sense_veu,1,50,4
NA,NA,NA,199426,4,0.327,0.211,NA,acustic,0.0466,0,sense_veu,1,65,4
mig,-8.865,0.586,225611,4,0.556,0.603,NA,no_acustic,0.0402,4,sense_veu,0,51,4
mig,-6.784,0.429,NA,4,NA,0.564,NA,no_acustic,0.0268,11,sense_veu,NA,72,4
gravada,-4.566,NA,215151,NA,0.674,NA,mitjà,mig_acustic,0.283,11,sense_veu,0,83,NA
en_viu,-4.231,0.736,226226,4,0.442,0.823,mitjà,NA,NA,NA,sense_veu,1,54,4
mig,-6.127,0.331,205160,3,NA,0.592,NA,mig_acustic,0.0371,1,sense_veu,1,71,3
NA,NA,0.651,NA,4,0.425,0.711,mitjà,mig_acustic,0.0378,3,NA,0,60,4
gravada,NA,0.923,NA,4,0.849,0.498,ràpid,NA,NA,NA,NA,0,46,4
gravada,NA,NA,263826,4,NA,NA,mitjà,NA,0.0402,NA,sense_veu,1,76,4
NA,NA,0.647,NA,NA,0.942,0.8,NA,NA,NA,7,sense_veu,NA,62,NA
mig,-5.531,0.639,178456,4,0.318,NA,NA,mig_acustic,0.0277,4,sense_veu,NA,58,4
mig,-7.055,0.621,NA,NA,0.517,NA,NA,NA,0.542,10,NA,0,17,NA
NA,-16.254,NA,195906,4,NA,0.309,NA,acustic,0.0384,NA,sense_veu,0,57,4
mig,-14.31,0.573,NA,NA,0.256,0.304,lent,acustic,NA,NA,NA,1,1,NA
NA,-4.141,0.67,130293,NA,0.285,0.724,NA,acustic,0.361,11,sense_veu,1,69,NA
gravada,-7.619,0.667,222641,4,0.0758,0.789,NA,no_acustic,0.0362,1,molta_veu,NA,57,4
mig,NA,NA,202346,3,0.242,0.714,lent,acustic,0.0328,7,sense_veu,1,65,3
mig,NA,0.685,NA,4,0.214,0.316,NA,acustic,0.0438,5,sense_veu,NA,49,4
NA,NA,0.608,247480,4,0.835,0.727,mitjà,NA,0.0709,3,sense_veu,NA,40,4
gravada,-6.273,0.61,241607,4,0.42,0.785,lent,mig_acustic,NA,9,NA,NA,61,4
en_viu,-7.734,0.802,NA,4,0.621,0.564,NA,no_acustic,0.111,11,poca_veu,NA,0,4
gravada,NA,0.589,224287,4,0.0608,0.321,NA,NA,0.0355,1,NA,NA,48,4
NA,NA,0.967,NA,4,0.964,0.583,NA,NA,NA,7,sense_veu,NA,77,4
en_viu,-4.499,0.822,241933,4,0.709,0.753,mitjà,no_acustic,0.0332,NA,sense_veu,NA,68,4
NA,-4.568,0.86,NA,NA,0.321,0.66,lent,NA,0.208,1,sense_veu,1,58,NA
NA,NA,0.694,248519,4,0.359,NA,NA,NA,NA,2,sense_veu,NA,55,4
gravada,-11.923,0.584,188093,4,0.657,0.525,lent,acustic,0.0686,3,sense_veu,1,15,4
en_viu,-6.061,NA,281560,4,0.591,0.445,lent,acustic,NA,2,sense_veu,1,86,4
mig,-6.71,0.724,210986,NA,0.0608,0.576,NA,no_acustic,0.0483,10,sense_veu,0,47,NA
gravada,-7.762,NA,NA,4,0.592,0.557,NA,no_acustic,0.0738,NA,sense_veu,1,64,4
gravada,-11.889,NA,279973,4,0.096,NA,ràpid,no_acustic,0.152,1,NA,NA,51,4
gravada,-9.731,0.699,NA,4,0.484,0.583,mitjà,NA,NA,6,NA,NA,68,4
mig,NA,0.539,301706,4,0.627,0.909,mitjà,no_acustic,0.0342,8,NA,1,59,4
NA,-4.666,NA,204150,NA,NA,NA,ràpid,no_acustic,0.169,NA,sense_veu,1,81,NA
NA,-8.473,NA,NA,4,0.71,NA,ràpid,NA,NA,4,NA,1,59,4
en_viu,-4.331,NA,279346,NA,NA,0.755,NA,acustic,0.0422,NA,NA,0,66,NA
mig,-7.124,0.456,NA,4,0.282,0.893,NA,no_acustic,0.0412,7,sense_veu,1,3,4
NA,NA,0.963,NA,4,0.503,0.677,lent,NA,0.114,0,sense_veu,1,61,4
NA,-4.277,NA,304786,NA,0.763,0.761,mitjà,no_acustic,0.0354,1,NA,1,45,NA
en_viu,-7.301,0.561,NA,4,0.52,NA,mitjà,no_acustic,0.0309,0,molta_veu,1,3,4
en_viu,-9.829,0.631,185491,NA,0.0611,0.67,ràpid,no_acustic,NA,3,NA,1,67,NA
en_viu,NA,NA,185186,4,0.962,0.836,ràpid,acustic,0.0541,6,sense_veu,0,32,4
mig,-8.999,0.799,NA,4,0.534,0.373,NA,mig_acustic,0.0558,7,sense_veu,1,72,4
gravada,-7.108,NA,230408,NA,0.864,NA,lent,NA,NA,10,sense_veu,0,79,NA
en_viu,-11.291,0.699,291178,4,0.813,0.698,mitjà,acustic,0.0345,NA,NA,NA,3,4
en_viu,-6.876,NA,250285,4,NA,0.804,ràpid,NA,NA,5,poca_veu,NA,22,4
en_viu,-9.163,0.445,186463,4,0.159,0.357,ràpid,mig_acustic,NA,NA,NA,1,72,4
en_viu,NA,NA,159462,4,0.213,NA,mitjà,mig_acustic,0.0778,0,sense_veu,0,63,4
gravada,-6.35,0.818,NA,4,0.174,0.54,lent,no_acustic,0.0544,6,NA,0,94,4
mig,-4.78,NA,262450,4,0.55,0.914,ràpid,no_acustic,NA,1,NA,NA,46,4
en_viu,-5.931,0.607,238160,4,0.567,0.629,NA,acustic,NA,11,sense_veu,1,72,4
mig,-2.416,0.604,200624,NA,0.225,0.796,NA,no_acustic,0.0597,1,NA,NA,58,NA
NA,-5.931,0.902,220213,NA,NA,0.522,NA,mig_acustic,0.0501,9,sense_veu,0,42,NA
en_viu,-3.989,0.722,200170,4,0.79,0.88,NA,mig_acustic,0.24,NA,NA,NA,64,4
gravada,NA,0.716,189334,NA,0.768,0.869,mitjà,no_acustic,0.0694,8,sense_veu,1,38,NA
en_viu,-8.444,0.955,158769,NA,0.904,0.492,mitjà,mig_acustic,NA,8,sense_veu,1,0,NA
gravada,NA,0.849,207430,4,0.5,NA,NA,NA,0.363,NA,sense_veu,NA,0,4
en_viu,-5.244,NA,NA,4,NA,0.787,mitjà,mig_acustic,0.102,8,sense_veu,1,70,4
gravada,-6.916,0.684,NA,4,0.914,NA,mitjà,no_acustic,NA,4,NA,0,2,4
NA,-14.244,0.763,NA,4,0.715,0.364,ràpid,acustic,0.0559,NA,sense_veu,1,53,4
gravada,-13.598,0.346,299000,4,0.439,0.572,NA,acustic,0.118,9,sense_veu,NA,42,4
NA,-2.744,0.521,225760,4,0.707,0.921,NA,NA,0.0382,NA,sense_veu,1,14,4
mig,-11.036,0.655,NA,4,0.436,NA,ràpid,acustic,0.0467,5,sense_veu,1,49,4
gravada,-15.46,NA,155266,4,0.937,0.49,NA,mig_acustic,0.0357,7,NA,1,53,4
NA,-6.074,0.679,188026,4,0.575,NA,lent,mig_acustic,0.0493,NA,NA,1,63,4
gravada,-19.16,NA,163533,4,0.0735,NA,lent,acustic,NA,5,sense_veu,1,47,4
gravada,NA,0.693,257826,3,0.526,0.624,mitjà,NA,NA,11,NA,0,44,3
gravada,NA,0.788,151990,4,0.881,0.469,mitjà,acustic,0.0347,NA,NA,1,43,4
gravada,-9.484,0.563,273437,4,0.369,0.31,lent,NA,0.0343,2,NA,NA,62,4
en_viu,-11.155,0.335,265108,4,NA,0.314,mitjà,acustic,0.0411,8,sense_veu,1,70,4
en_viu,-6.211,0.813,NA,4,0.9,0.869,NA,acustic,0.133,7,sense_veu,1,45,4
mig,NA,0.641,208400,4,0.723,0.914,NA,mig_acustic,0.05,NA,NA,NA,27,4
mig,-8.131,NA,181913,3,0.213,0.289,lent,acustic,0.0348,0,sense_veu,1,79,3
mig,-7.242,0.808,NA,4,NA,0.586,mitjà,NA,0.169,10,NA,0,72,4
NA,NA,NA,NA,4,NA,0.505,ràpid,mig_acustic,NA,5,NA,1,33,4
NA,NA,NA,217652,NA,0.571,0.626,mitjà,NA,NA,NA,sense_veu,1,74,NA
en_viu,-5.182,0.575,NA,4,0.608,0.886,NA,mig_acustic,0.034,5,sense_veu,1,68,4
gravada,-9.705,0.231,NA,NA,NA,0.465,lent,acustic,0.0373,6,sense_veu,NA,51,NA
en_viu,NA,0.638,192333,NA,NA,0.937,lent,mig_acustic,0.0444,0,NA,1,51,NA
NA,NA,0.44,109882,4,0.489,0.138,lent,acustic,NA,1,NA,1,43,4
en_viu,NA,NA,NA,4,0.954,0.797,lent,mig_acustic,0.0554,10,sense_veu,0,38,4
mig,-5.416,0.593,NA,NA,0.428,0.697,NA,no_acustic,NA,7,sense_veu,1,63,NA
mig,-12.379,NA,189750,4,0.112,0.273,mitjà,NA,0.0547,NA,sense_veu,1,39,4
en_viu,NA,0.503,NA,4,0.712,0.926,ràpid,no_acustic,NA,1,NA,1,1,4
mig,-4.89,0.611,148459,4,NA,0.602,ràpid,NA,0.0437,5,NA,1,83,4
en_viu,-2.188,0.743,194184,4,0.884,0.87,NA,mig_acustic,0.212,1,sense_veu,1,88,4
en_viu,NA,0.374,319940,NA,0.365,0.888,NA,mig_acustic,0.12,8,sense_veu,1,62,NA
NA,NA,NA,195428,4,0.284,NA,NA,no_acustic,0.0882,1,NA,1,50,4
mig,NA,0.348,237226,NA,0.138,0.0834,NA,acustic,0.0299,5,sense_veu,1,37,NA
en_viu,NA,NA,190933,4,0.783,NA,lent,acustic,0.0491,5,sense_veu,1,57,4
NA,-7.788,NA,250173,4,0.352,0.574,lent,NA,0.0479,5,sense_veu,0,86,4
NA,-6.248,0.833,268400,4,0.839,NA,NA,no_acustic,0.356,5,NA,NA,32,4
mig,-3.928,NA,263293,5,0.31,NA,mitjà,no_acustic,NA,0,sense_veu,1,51,5
en_viu,-4.366,0.501,NA,NA,NA,0.9,ràpid,mig_acustic,0.0433,11,NA,NA,54,NA
gravada,-5.582,0.47,111967,4,0.515,0.917,mitjà,NA,NA,0,sense_veu,1,48,4
mig,-7.77,NA,NA,4,0.657,0.586,lent,mig_acustic,0.406,8,sense_veu,1,71,4
gravada,-5.593,NA,158053,NA,NA,0.501,lent,acustic,0.0466,NA,sense_veu,1,66,NA
mig,NA,NA,204160,4,0.788,0.963,mitjà,NA,0.0981,11,NA,NA,75,4
en_viu,-6.941,0.88,200234,4,0.718,0.726,ràpid,mig_acustic,NA,10,sense_veu,0,14,4
mig,NA,NA,NA,4,NA,0.637,mitjà,mig_acustic,0.0395,4,molta_veu,1,47,4
mig,-8.134,NA,220880,NA,0.413,0.546,ràpid,acustic,0.106,8,NA,NA,37,NA
NA,-9.113,0.544,NA,3,0.322,NA,ràpid,NA,0.0412,7,sense_veu,0,30,3
gravada,-6.05,NA,209110,4,NA,0.672,ràpid,NA,NA,9,NA,0,72,4
NA,-12.005,0.58,349693,4,0.781,0.622,ràpid,no_acustic,0.0352,5,NA,1,63,4
gravada,-23.435,NA,216373,4,0.14,0.0758,NA,acustic,NA,NA,NA,1,40,4
NA,-6.519,0.697,208485,4,0.331,0.521,lent,mig_acustic,0.031,5,sense_veu,1,75,4
mig,-10.882,0.807,298195,4,0.614,0.443,lent,NA,0.1,11,sense_veu,0,21,4
gravada,-5.039,0.594,197520,4,0.673,NA,lent,NA,0.266,8,sense_veu,1,16,4
