"ID","acousticness","instrumentalness","loudness","energy","tempo","liveness","audio_valence","danceability","speechiness","song_duration_min","key","audio_mode","song_popularity","loudness_energy_impact","is_very_danceable","energy_dance_synergy","emotional_intensity"
71,"no_acustic","sense_veu",-8.098,0.818,"ràpid","mig",0.667,0.232,0.0448,2.68043333333333,11,1,48,-6.624164,0,0.189776,0.545606
72,"acustic","sense_veu",-7.335,0.724,"lent","gravada",0.244,0.509,0.0572,4.21443333333333,7,1,78,-5.31054,0,0.368516,0.176656
73,"acustic","sense_veu",-6.518,0.864,"lent","gravada",0.229,0.565,0.179,3.738,7,0,24,-5.631552,0,0.48816,0.197856
74,"acustic","sense_veu",-6.246,0.603,"ràpid","gravada",0.892,0.515,0.0318,2.92,10,1,37,-3.766338,0,0.310545,0.537876
75,"acustic","sense_veu",-9.545,0.532,"ràpid","en_viu",0.105,0.441,0.0449,3.47043333333333,2,1,79,-5.07794,0,0.234612,0.05586
76,"acustic","molta_veu",-6.089,0.816,"lent","mig",0.651,0.614,0.199,3.37043333333333,2,0,40,-4.968624,0,0.501024,0.531216
77,"no_acustic","sense_veu",-8.455,0.441,"mitjà","gravada",0.171,0.631,0.075,5.1491,5,0,57,-3.728655,0,0.278271,0.075411
78,"acustic","sense_veu",-4.876,0.847,"lent","mig",0.888,0.718,0.29,4.51471666666667,2,1,19,-4.129972,1,0.608146,0.752136
79,"acustic","sense_veu",-9.196,0.611,"lent","en_viu",0.716,0.77,0.0721,4.8371,9,1,56,-5.618756,1,0.47047,0.437476
80,"mig_acustic","sense_veu",-5.399,0.738,"lent","mig",0.243,0.519,0.0263,3.21376666666667,6,1,51,-3.984462,0,0.383022,0.179334
81,"mig_acustic","molta_veu",-8.248,0.644,"lent","gravada",0.173,0.805,0.0521,5.8053,1,1,53,-5.311712,1,0.51842,0.111412
82,"no_acustic","molta_veu",-11.267,0.744,"mitjà","gravada",0.657,0.465,0.0338,6.21621666666667,8,1,19,-8.382648,0,0.34596,0.488808
83,"acustic","sense_veu",-5.22,0.473,"lent","gravada",0.0644,0.839,0.0607,2.25026666666667,10,0,65,-2.46906,1,0.396847,0.0304612
84,"mig_acustic","sense_veu",-7.269,0.506,"ràpid","gravada",0.412,0.646,0.0307,3.52176666666667,10,0,46,-3.678114,0,0.326876,0.208472
85,"no_acustic","sense_veu",-4.19,0.917,"ràpid","en_viu",0.902,0.285,0.0395,4.01733333333333,9,1,67,-3.84223,0,0.261345,0.827134
86,"acustic","sense_veu",-9.545,0.379,"ràpid","en_viu",0.105,0.476,0.0286,3.47043333333333,5,1,79,-3.617555,0,0.180404,0.039795
87,"mig_acustic","sense_veu",-7.539,0.47,"lent","en_viu",0.398,0.684,0.044,2.82686666666667,2,0,65,-3.54333,0,0.32148,0.18706
88,"acustic","sense_veu",-7.861,0.551,"ràpid","mig",0.287,0.621,0.0501,2.26666666666667,1,1,37,-4.331411,0,0.342171,0.158137
89,"acustic","sense_veu",-5.867,0.927,"ràpid","mig",0.458,0.66,0.0454,3.52555,5,0,60,-5.438709,0,0.61182,0.424566
90,"acustic","sense_veu",-10.123,0.306,"ràpid","mig",0.189,0.329,0.0327,7.22533333333333,2,0,68,-3.097638,0,0.100674,0.057834
91,"mig_acustic","sense_veu",-5.425,0.971,"ràpid","gravada",0.611,0.636,0.0535,3.30355,9,1,16,-5.267675,0,0.617556,0.593281
92,"mig_acustic","sense_veu",-2.555,0.847,"mitjà","en_viu",0.619,0.711,0.0787,3.83066666666667,1,0,68,-2.164085,1,0.602217,0.524293
93,"no_acustic","sense_veu",-2.588,0.882,"ràpid","en_viu",0.875,0.71,0.322,3.88,4,0,67,-2.282616,1,0.62622,0.77175
94,"mig_acustic","sense_veu",-5.114,0.84,"ràpid","en_viu",0.749,0.673,0.0381,2.79043333333333,11,1,53,-4.29576,0,0.56532,0.62916
95,"mig_acustic","sense_veu",-8.768,0.291,"lent","mig",0.555,0.625,0.272,1.53888333333333,1,1,70,-2.551488,0,0.181875,0.161505
96,"mig_acustic","sense_veu",-5.881,0.861,"lent","gravada",0.78,0.766,0.0323,3.36841666666667,11,0,83,-5.063541,1,0.659526,0.67158
97,"acustic","sense_veu",-8.308,0.62,"mitjà","gravada",0.53,0.462,0.0339,9.58666666666667,2,1,43,-5.15096,0,0.28644,0.3286
98,"acustic","sense_veu",-7.114,0.625,"ràpid","mig",0.374,0.755,0.0896,2.91433333333333,2,1,87,-4.44625,1,0.471875,0.23375
99,"no_acustic","sense_veu",-3.833,0.863,"ràpid","en_viu",0.677,0.416,0.0503,3.16666666666667,8,1,55,-3.307879,0,0.359008,0.584251
100,"no_acustic","sense_veu",-5.066,0.829,"ràpid","gravada",0.477,0.593,0.0763,3.3,7,1,42,-4.199714,0,0.491597,0.395433
101,"no_acustic","sense_veu",-6.442,0.598,"mitjà","mig",0.333,0.669,0.0286,3.27333333333333,4,0,97,-3.852316,0,0.400062,0.199134
102,"no_acustic","sense_veu",-3.95,0.907,"ràpid","en_viu",0.657,0.507,0.0672,2.95773333333333,10,0,67,-3.58265,0,0.459849,0.595899
103,"mig_acustic","sense_veu",-5.968,0.878,"mitjà","mig",0.816,0.799,0.0342,4.68088333333333,1,1,71,-5.239904,1,0.701522,0.716448
104,"no_acustic","sense_veu",-4.807,0.892,"ràpid","gravada",0.35,0.565,0.0897,3.76018333333333,1,0,59,-4.287844,0,0.50398,0.3122
105,"acustic","sense_veu",-7.873,0.884,"lent","en_viu",0.752,0.539,0.0403,3.84488333333333,9,1,73,-6.959732,0,0.476476,0.664768
106,"mig_acustic","sense_veu",-4.882,0.557,"ràpid","mig",0.319,0.544,0.0495,3.01495,6,0,90,-2.719274,0,0.303008,0.177683
107,"mig_acustic","sense_veu",-7.755,0.792,"ràpid","en_viu",0.47,0.518,0.248,3.14976666666667,1,0,59,-6.14196,0,0.410256,0.37224
108,"no_acustic","poca_veu",-3.916,0.794,"mitjà","gravada",0.913,0.678,0.249,3.91821666666667,4,1,59,-3.109304,0,0.538332,0.724922
109,"no_acustic","sense_veu",-1.976,0.939,"ràpid","en_viu",0.698,0.468,0.112,3.25648333333333,11,1,51,-1.855464,0,0.439452,0.655422
110,"acustic","sense_veu",-7.552,0.64,"ràpid","mig",0.946,0.489,0.0424,2.35971666666667,3,1,39,-4.83328,0,0.31296,0.60544
111,"mig_acustic","sense_veu",-8.227,0.569,"ràpid","gravada",0.633,0.564,0.063,3.06176666666667,4,1,47,-4.681163,0,0.320916,0.360177
112,"mig_acustic","sense_veu",-7.711,0.901,"mitjà","mig",0.387,0.63,0.0526,5.94,6,1,77,-6.947611,0,0.56763,0.348687
113,"no_acustic","sense_veu",-5.721,0.758,"mitjà","mig",0.435,0.606,0.027,3.18763333333333,5,0,49,-4.336518,0,0.459348,0.32973
114,"mig_acustic","sense_veu",-4.296,0.63,"ràpid","mig",0.832,0.832,0.395,2.53333333333333,3,1,90,-2.70648,1,0.52416,0.52416
115,"acustic","sense_veu",-12.751,0.423,"mitjà","gravada",0.853,0.684,0.0331,3.375,6,1,54,-5.393673,0,0.289332,0.360819
116,"acustic","sense_veu",-9.594,0.374,"lent","mig",0.0824,0.62,0.026,3.36138333333333,1,1,60,-3.588156,0,0.23188,0.0308176
117,"acustic","sense_veu",-7.064,0.7,"lent","en_viu",0.654,0.585,0.0906,3.84013333333333,7,0,35,-4.9448,0,0.4095,0.4578
118,"mig_acustic","sense_veu",-8.026,0.701,"lent","en_viu",0.786,0.761,0.0559,3.59861666666667,6,0,60,-5.626226,1,0.533461,0.550986
119,"no_acustic","sense_veu",-7.716,0.591,"mitjà","en_viu",0.642,0.782,0.039,2.4414,9,0,23,-4.560156,1,0.462162,0.379422
120,"mig_acustic","sense_veu",-4.987,0.714,"ràpid","mig",0.33,0.341,0.129,3.40021666666667,7,0,79,-3.560718,0,0.243474,0.23562
121,"no_acustic","sense_veu",-6.546,0.602,"mitjà","gravada",0.524,0.58,0.0442,5.97376666666667,9,1,32,-3.940692,0,0.34916,0.315448
122,"mig_acustic","sense_veu",-7.979,0.615,"lent","gravada",0.543,0.78,0.244,3.75331666666667,11,0,91,-4.907085,1,0.4797,0.333945
123,"mig_acustic","sense_veu",-6.924,0.637,"lent","gravada",0.798,0.749,0.0764,3.90621666666667,7,1,68,-4.410588,1,0.477113,0.508326
124,"mig_acustic","sense_veu",-11.169,0.702,"ràpid","en_viu",0.518,0.696,0.0389,3.75331666666667,4,1,69,-7.840638,0,0.488592,0.363636
125,"mig_acustic","sense_veu",-13.717,0.385,"lent","mig",0.173,0.805,0.239,4.64425,8,1,57,-5.281045,1,0.309925,0.066605
126,"mig_acustic","sense_veu",-7.906,0.605,"mitjà","gravada",0.376,0.575,0.0439,3.32043333333333,10,0,92,-4.78313,0,0.347875,0.22748
127,"acustic","sense_veu",-8.591,0.439,"ràpid","gravada",0.496,0.791,0.115,3.5111,10,1,28,-3.771449,1,0.347249,0.217744
128,"acustic","sense_veu",-9.428,0.381,"lent","mig",0.489,0.86,0.0321,4.44995,10,1,63,-3.592068,1,0.32766,0.186309
129,"acustic","sense_veu",-9.275,0.462,"mitjà","mig",0.176,0.669,0.0549,3.00008333333333,2,1,66,-4.28505,0,0.309078,0.081312
130,"no_acustic","sense_veu",-4.084,0.685,"mitjà","en_viu",0.336,0.507,0.141,4.12506666666667,2,0,34,-2.79754,0,0.347295,0.23016
131,"acustic","sense_veu",-10.109,0.261,"lent","en_viu",0.287,0.651,0.0266,3.7071,1,1,40,-2.638449,0,0.169911,0.074907
132,"mig_acustic","sense_veu",-4.068,0.807,"lent","gravada",0.305,0.638,0.066,3.13563333333333,9,1,8,-3.282876,0,0.514866,0.246135
133,"no_acustic","sense_veu",-7.093,0.801,"ràpid","en_viu",0.349,0.504,0.0574,3.83888333333333,11,1,28,-5.681493,0,0.403704,0.279549
134,"no_acustic","sense_veu",-3.544,0.922,"ràpid","gravada",0.746,0.481,0.064,4.31376666666667,3,1,57,-3.267568,0,0.443482,0.687812
135,"no_acustic","molta_veu",-10.19,0.667,"mitjà","gravada",0.288,0.64,0.289,2.94285,11,0,58,-6.79673,0,0.42688,0.192096
136,"no_acustic","sense_veu",-7.811,0.734,"mitjà","en_viu",0.661,0.6,0.163,2.994,4,1,46,-5.733274,0,0.4404,0.485174
137,"no_acustic","sense_veu",-2.451,0.771,"mitjà","en_viu",0.263,0.729,0.156,2.7051,4,1,69,-1.889721,1,0.562059,0.202773
138,"no_acustic","sense_veu",-3.883,0.953,"ràpid","en_viu",0.291,0.408,0.226,4.54441666666667,7,1,1,-3.700499,0,0.388824,0.277323
139,"mig_acustic","sense_veu",-5.77,0.876,"lent","en_viu",0.734,0.666,0.0362,3.39133333333333,2,1,9,-5.05452,0,0.583416,0.642984
140,"no_acustic","sense_veu",-5.48,0.678,"mitjà","gravada",0.4,0.59,0.0254,2.96885,5,1,71,-3.71544,0,0.40002,0.2712
141,"mig_acustic","sense_veu",-4.408,0.566,"mitjà","en_viu",0.834,0.714,0.056,2.26533333333333,8,1,74,-2.494928,1,0.404124,0.472044
142,"no_acustic","sense_veu",-5.78,0.727,"mitjà","en_viu",0.372,0.814,0.0442,3.0825,1,1,51,-4.20206,1,0.591778,0.270444
143,"mig_acustic","sense_veu",-8.329,0.262,"lent","gravada",0.0351,0.567,0.132,3.03706666666667,10,0,53,-2.182198,0,0.148554,0.0091962
144,"acustic","sense_veu",-9.674,0.661,"ràpid","mig",0.824,0.698,0.0416,2.66666666666667,0,1,58,-6.394514,0,0.461378,0.544664
145,"acustic","sense_veu",-10.49,0.335,"ràpid","mig",0.29,0.605,0.0256,4.16668333333333,4,1,76,-3.51415,0,0.202675,0.09715
146,"no_acustic","poca_veu",-9.096,0.617,"mitjà","mig",0.901,0.791,0.0309,6.27666666666667,2,1,37,-5.612232,1,0.488047,0.555917
147,"no_acustic","poca_veu",-9.539,0.383,"mitjà","gravada",0.694,0.845,0.0567,4.45253333333333,10,1,54,-3.653437,1,0.323635,0.265802
148,"no_acustic","sense_veu",-4.152,0.85,"ràpid","en_viu",0.818,0.522,0.0488,4.52333333333333,2,1,1,-3.5292,0,0.4437,0.6953
149,"mig_acustic","sense_veu",-4.909,0.639,"mitjà","mig",0.311,0.657,0.155,3.50368333333333,0,1,59,-3.136851,0,0.419823,0.198729
150,"no_acustic","sense_veu",-6.237,0.942,"mitjà","gravada",0.564,0.438,0.0624,4.01333333333333,1,1,78,-5.875254,0,0.412596,0.531288
151,"acustic","sense_veu",-8.332,0.519,"lent","en_viu",0.856,0.614,0.103,4.72161666666667,9,0,8,-4.324308,0,0.318666,0.444264
152,"mig_acustic","sense_veu",-9.343,0.37,"lent","mig",0.281,0.554,0.0439,3.62721666666667,10,1,73,-3.45691,0,0.20498,0.10397
153,"acustic","sense_veu",-9.381,0.233,"mitjà","gravada",0.16,0.458,0.0318,4.1,0,1,63,-2.185773,0,0.106714,0.03728
154,"mig_acustic","sense_veu",-9.506,0.373,"lent","mig",0.534,0.822,0.0558,6.7071,2,1,72,-3.545738,1,0.306606,0.199182
155,"no_acustic","sense_veu",-3.179,0.915,"ràpid","en_viu",0.424,0.547,0.0992,4.24675,5,1,46,-2.908785,0,0.500505,0.38796
156,"acustic","sense_veu",-7.113,0.445,"lent","mig",0.458,0.493,0.0364,3.26126666666667,7,1,47,-3.165285,0,0.219385,0.20381
157,"no_acustic","sense_veu",-3.585,0.923,"mitjà","gravada",0.352,0.277,0.0475,3.46636666666667,9,0,37,-3.308955,0,0.255671,0.324896
158,"mig_acustic","sense_veu",-6.702,0.668,"mitjà","mig",0.721,0.845,0.0447,3.33775,1,0,78,-4.476936,1,0.56446,0.481628
159,"mig_acustic","sense_veu",-7.702,0.496,"mitjà","mig",0.545,0.805,0.0595,3.34443333333333,0,1,50,-3.820192,1,0.39928,0.27032
160,"acustic","sense_veu",-11.351,0.211,"lent","mig",0.327,0.773,0.0466,3.32376666666667,0,1,65,-2.395061,1,0.163103,0.068997
161,"no_acustic","sense_veu",-8.865,0.603,"mitjà","mig",0.556,0.586,0.0402,3.76018333333333,4,0,51,-5.345595,0,0.353358,0.335268
162,"no_acustic","sense_veu",-6.784,0.564,"lent","mig",0.346,0.429,0.0268,2.99761666666667,11,1,72,-3.826176,0,0.241956,0.195144
163,"mig_acustic","sense_veu",-4.566,0.719,"mitjà","gravada",0.674,0.764,0.283,3.58585,11,0,83,-3.282954,1,0.549316,0.484606
164,"no_acustic","sense_veu",-4.231,0.823,"mitjà","en_viu",0.442,0.736,0.0298,3.77043333333333,11,1,54,-3.482113,1,0.605728,0.363766
165,"mig_acustic","sense_veu",-6.127,0.592,"ràpid","mig",0.188,0.331,0.0371,3.41933333333333,1,1,71,-3.627184,0,0.195952,0.111296
166,"mig_acustic","sense_veu",-7.972,0.711,"mitjà","mig",0.425,0.651,0.0378,2.66971666666667,3,0,60,-5.668092,0,0.462861,0.302175
167,"mig_acustic","sense_veu",-8.906,0.498,"ràpid","gravada",0.849,0.923,0.271,3.63076666666667,10,0,46,-4.435188,1,0.459654,0.422802
168,"acustic","sense_veu",-11.263,0.293,"mitjà","gravada",0.222,0.589,0.0402,4.3971,6,1,76,-3.300059,0,0.172577,0.065046
169,"mig_acustic","sense_veu",-6.702,0.8,"ràpid","en_viu",0.942,0.647,0.151,2.59333333333333,7,1,62,-5.3616,0,0.5176,0.7536
170,"mig_acustic","sense_veu",-5.531,0.429,"mitjà","mig",0.318,0.639,0.0277,2.97426666666667,4,1,58,-2.372799,0,0.274131,0.136422
171,"mig_acustic","sense_veu",-7.055,0.649,"ràpid","mig",0.517,0.621,0.542,2.47275,10,0,17,-4.578695,0,0.403029,0.335533
172,"acustic","sense_veu",-16.254,0.309,"lent","mig",0.268,0.532,0.0384,3.2651,4,0,57,-5.022486,0,0.164388,0.082812
173,"acustic","sense_veu",-14.31,0.304,"lent","mig",0.256,0.573,0.164,2.81443333333333,5,1,1,-4.35024,0,0.174192,0.077824
174,"acustic","sense_veu",-4.141,0.724,"lent","en_viu",0.285,0.67,0.361,2.17155,11,1,69,-2.998084,0,0.48508,0.20634
175,"no_acustic","molta_veu",-7.619,0.789,"mitjà","gravada",0.0758,0.667,0.0362,3.71068333333333,1,1,57,-6.011391,0,0.526263,0.0598062
176,"acustic","sense_veu",-5.448,0.714,"lent","mig",0.242,0.765,0.0328,3.37243333333333,7,1,65,-3.889872,1,0.54621,0.172788
177,"acustic","sense_veu",-7.186,0.316,"mitjà","mig",0.214,0.685,0.0438,2.69133333333333,5,1,49,-2.270776,0,0.21646,0.067624
178,"no_acustic","sense_veu",-4.069,0.727,"mitjà","en_viu",0.835,0.608,0.0709,4.12466666666667,3,1,40,-2.958163,0,0.442016,0.607045
179,"mig_acustic","sense_veu",-6.273,0.785,"lent","gravada",0.42,0.61,0.0593,4.02678333333333,9,0,61,-4.924305,0,0.47885,0.3297
